"","Institution","Titre du poste","Domaine","Date limite"
"56","GHSC-PSM","Senior Fleet & Security Officer","Transport et Logistique","21 Nov 22"
"57","Plan International-Haiti","Program Unit Manager","Sciences Humaines et Sociales","21 Nov 22"
"58","Elizabeth Glaser Pediatric AIDS Foundation","Pediatric and Adolescent HIV Technical Advisor","Santé et Professions médicales","21 Nov 22"
"59","HEI/SBH","IT Specialist","Sciences Informatiques","20 Nov 22"
"60","HEI/SBH","Lab Technician","Santé et Professions médicales","20 Nov 22"
"61","World Relief Haiti","MEAL Manager","Management/Gestion, Finance, Comptabilité et Commerce","18 Nov 22"
"62","MDM Canada","Psychologue","Sciences Humaines et Sociales","18 Nov 22"
"63","FHI/Humanité & Inclusion_ HI","Chef de Projet Generaliste (READ/SMSPS/MobCom)","Santé et Professions médicales","18 Nov 22"
"64","Secteur prive","Professionnels divers en Management, Finance, Comptabilité et Audit","Management/Gestion, Finance, Comptabilité et Commerce","18 Nov 22"
"65","Secteur prive","Professionnels divers en Mécanique Industrielle, Réfrigération et Electricité,","Métiers du bâtiment et autres","18 Nov 22"
"66","UCMIT/UCP","Statisticien épidémiologiste pour les analyses des données","Santé et Professions médicales","17 Nov 22"
"67","UCMIT/UCP","Socio-anthropologue pour les analyses des données qualitatives","Santé et Professions médicales","17 Nov 22"
"68","CRS","Private Sector Engagement Lead- Advisor II","Sciences Humaines et Sociales","17 Nov 22"
"69","OIM","Responsable en Construction","Métiers du bâtiment et autres","15 Nov 22"
"70","UCP/MICT","Responsable de Communication à l'UCP/MICT","Communication et Journalisme","15 Nov 22"
"71","Solidarites International","Responsable Accès humanitaire et Sécurité","Sciences Humaines et Sociales","15 Nov 22"
"72","SUCO","Responsable de la Mobilisation","Agriculture �<U+0080><U+0093> Agroalimentaire","15 Nov 22"
"73","Mercy Corps Haiti","Assistant Finance","Management/Gestion, Finance, Comptabilité et Commerce","14 Nov 22"
"74","ASFC","Conseiller(ère) juridique �<U+0080><U+0093> accès à la justice","Droit","14 Nov 22"
"75","CRS","Head of Education","Sciences de l�<U+0080><U+0099>Education","11 Nov 22"
"76","Secteur public","Architecte","Architecture, Urbanisme et Aménagement du territoire","11 Nov 22"
"77","Secteur public","Ingénieur Civil","Sciences de l�<U+0080><U+0099>Ingénieur","11 Nov 22"
"78","Secteur public","Informaticien administrateur de base données","Sciences Informatiques","11 Nov 22"
"79","SUCO","Responsable �<U+0089>galité entre les Femmes et Hommes (EFH)","Agriculture �<U+0080><U+0093> Agroalimentaire","11 Nov 22"
"80","University of California San Francisco","Quality Improvement Coach (HIV)","Santé et Professions médicales","11 Nov 22"
"81","CDS","Travailleur (e) Social (e)","Sciences Humaines et Sociales","10 Nov 22"
"82","MARNDR/TPR","Un (e) Cadre intermédiaire /Assistant(e) technique en appui à la Coordination de l�<U+0080><U+0099>unité centrale","Agriculture �<U+0080><U+0093> Agroalimentaire","10 Nov 22"
"83","MARNDR/PURRACO","Expert en Problematique pour l'implementation de la Stratégie Genre - RELANCE","Sciences Humaines et Sociales","10 Nov 22"
"84","EpiC Project","Spécialiste en Approvisionnement","Management/Gestion, Finance, Comptabilité et Commerce","9 Nov 22"
"85","CRS","Deputy Chief of Party I","Sciences économiques et politiques","8 Nov 22"
"86","Save the Children en Haiti","Coordonnateur Nutrition","Sciences Humaines et Sociales","7 Nov 22"
"87","HELP","Manager Administratif & Logistique (M.A.L)","Management/Gestion, Finance, Comptabilité et Commerce","7 Nov 22"
"88","HELP","Receptionniste","Secrétariat","7 Nov 22"
"89","HELP","Responsable ? Propriétés et Biens corporels (RPB)","Management/Gestion, Finance, Comptabilité et Commerce","7 Nov 22"
"90","Quala Ayiti","Analista Cualitativo de Investigación de Mercados","Marketing","7 Nov 22"
"91","Plan International-Haiti","IT Coordinator","Sciences Informatiques","6 Nov 22"
"92","Helvetas Swiss Intercooperation","Coordinateur.trice Urgence","Management/Gestion, Finance, Comptabilité et Commerce","6 Nov 22"
"93","Helvetas Swiss Intercooperation","Conseiller.ère Sécurité","Sécurité","6 Nov 22"
"94","Elizabeth Glaser Pediatric AIDS Foundation","HIV Treatment Continuity Technical Advisor","Santé et Professions médicales","4 Nov 22"
"95","Elizabeth Glaser Pediatric AIDS Foundation","Data Management Technical Advisor","Santé et Professions médicales","4 Nov 22"
"96","WeltHungerHilfe (Agro Action Allemande)","Ingénieur Rural","Sciences de l�<U+0080><U+0099>Ingénieur","3 Nov 22"
"97","MARNDR/PITAG","Un (e) Spécialiste en communication et gestion des plaintes","Communication et Journalisme","3 Nov 22"
"98","MARNDR/PITAG","Un (e) Spécialiste junior en ciblage, inclusion sociale, genre et jeunesse","Agriculture �<U+0080><U+0093> Agroalimentaire","3 Nov 22"
"99","Sommets Education / ZL","Chef Superviseur de la Cantine Scolaire","Management/Gestion, Finance, Comptabilité et Commerce","1 Nov 22"
"100","KOTELAM","Chargé aux Ressources Humaines","Management/Gestion, Finance, Comptabilité et Commerce","31 Oct 22"
"101","CECI","Architecte","Architecture, Urbanisme et Aménagement du territoire","31 Oct 22"
"102","Save the Children en Haiti","Award Management and Compliance Coordinator","Management/Gestion, Finance, Comptabilité et Commerce","31 Oct 22"
"103","Entrepreneurs du Monde/Palmis Mikwofinans Sosyal","Auditeur Interne","Management/Gestion, Finance, Comptabilité et Commerce","31 Oct 22"
"104","HAS","Médecin ou infirmier/infirmière anesthésiste","Santé et Professions médicales","31 Oct 22"
"105","ACF","Responsable de Departement WASH","Sciences de l�<U+0080><U+0099>Ingénieur","28 Oct 22"
"106","ACF","ICT Manager","Sciences Informatiques","28 Oct 22"
"107","ACF","Responsable de Projet","Santé et Professions médicales","28 Oct 22"
"108","British Embassy (FCO - Gov.UK)","Head of Office for His Majesty�<U+0080><U+0099>s Ambassador, Port au Prince","Sciences Humaines et Sociales","26 Oct 22"
"109","HEI/SBH","HR& Office Manager","Management/Gestion, Finance, Comptabilité et Commerce","26 Oct 22"
"110","EpiC Project","Assistant/te Conseiller Technique COVID -19 /Programme de Vaccination","Santé et Professions médicales","26 Oct 22"
"111","OIM","Local Security Assistant","Sécurité","25 Oct 22"
"112","UCMIT/UCP","Responsable Financier","Santé et Professions médicales","25 Oct 22"
"113","UCMIT/UCP","Gestionnaires adjoints de données VIH/COVID_19","Santé et Professions médicales","25 Oct 22"
"114","Mercy Corps Haiti","Cash and Voucher Assistance Advisor- Haiti","Sciences économiques et politiques","24 Oct 22"
"115","Mercy Corps Haiti","Food Security & Markets Technical Advisor","Santé et Professions médicales","24 Oct 22"
"116","CRS","Youth and Livelihoods Project Manager","Sciences économiques et politiques","23 Oct 22"
"117","CRS","Finance Officer","Management/Gestion, Finance, Comptabilité et Commerce","23 Oct 22"
"118","International Business Initiatives","Logistics/TPM Assistant","Sciences économiques et politiques","21 Oct 22"
"119","WeltHungerHilfe (Agro Action Allemande)","Expert MEAL","Agriculture �<U+0080><U+0093> Agroalimentaire","21 Oct 22"
"120","DAI","Chef d'équipe de la composante 2 : Développement communautaire et résilience à la violence","Sciences Humaines et Sociales","20 Oct 22"
"121","Clinton Health Access Initiative","Associate, Malaria Program, Sud Department","Santé et Professions médicales","19 Oct 22"
"122","IMA World Health","Monitoring and Evaluation Officer","Sciences Informatiques","18 Oct 22"
"123","HEI/SBH","Leadership Accountant/Chef Comptable","Management/Gestion, Finance, Comptabilité et Commerce","18 Oct 22"
"124","ZL/PIH","Rédacteur/trice","Communication et Journalisme","17 Oct 22"
"125","ECHO-Haïti","Program Officer","Management/Gestion, Finance, Comptabilité et Commerce","16 Oct 22"
"126","Croix Rouge Canadienne","Ingénieur/e civil/e S�<U+0089>NIOR","Sciences de l�<U+0080><U+0099>Ingénieur","16 Oct 22"
"127","UniQ","Responsable des systèmes d'information (ISO) du HAUP-CEMARCH-USAID","Communication et Journalisme","15 Oct 22"
"128","UniQ","Assistant administratif","Secrétariat","15 Oct 22"
"129","UniQ","Agent financier au sein du HAUP-CEMARCH-USAID","Management/Gestion, Finance, Comptabilité et Commerce","15 Oct 22"
"130","UniQ","Chauffeur au sein du HAUP-CEMARCH-USAID","Transport et Logistique","15 Oct 22"
